Length,Collisions,Time,Target,Bytes
2,5,6.29425048828125e-05,00,\x03
4,34,0.0002651214599609375,30,\x20
6,34,0.00023698806762695312,34,\x20
8,193,0.0012862682342529297,34,\xc2\xbf
10,1431,0.010126829147338867,3480,\x04\xc2\x95
12,2572,0.017426013946533203,34a0,\t\n
14,13040,0.08913588523864746,34a0,1\xc3\xae
16,118636,0.8071658611297607,34a0,\x00\xc3\x8ej
18,118636,0.8342978954315186,34a040,\x00\xc3\x8ej
20,1181474,8.345335006713867,34a040,\x11\x06 
22,1181474,8.306233167648315,34a040,\x11\x06 
24,1181474,8.261659145355225,34a040,\x11\x06 
26,66835988,501.4997522830963,34a04000,\x02\xc3\xba\xc3\x95\x12
28,155112374,1133.3565618991852,34a04000,\x08=\xc3\x92\xc2\xb4
